technology,capacity_type,location,year,none
biomass_boiler,power,HU,4,1.245368607
biomass_boiler,power,HU,5,1.99E-08
biomass_boiler,power,HU,6,2.90E-08
biomass_boiler,power,HU,7,4.02E-08
biomass_boiler,power,HU,8,5.05E-08
biomass_boiler,power,HU,9,6.12E-08
biomass_boiler,power,HU,10,7.12E-08
biomass_boiler,power,HU,11,8.30E-08
biomass_boiler,power,HU,12,9.82E-08
biomass_boiler,power,HU,13,1.22E-07
biomass_boiler,power,HU,14,2.12E-07
biomass_boiler,power,IE,0,0.119218131
biomass_boiler,power,IE,1,0.119218132
biomass_boiler,power,IE,2,0.119218134
biomass_boiler,power,IE,3,0.096605893
biomass_boiler,power,IE,4,0.085701972
biomass_boiler,power,IE,5,0.038756628
biomass_boiler,power,IE,6,0.020022939
biomass_boiler,power,IE,7,4.47E-08
biomass_boiler,power,IE,8,5.80E-08
biomass_boiler,power,IE,9,7.10E-08
biomass_boiler,power,IE,10,8.29E-08
biomass_boiler,power,IE,11,9.69E-08
biomass_boiler,power,IE,12,1.15E-07
biomass_boiler,power,IE,13,1.43E-07
biomass_boiler,power,IE,14,2.10E-07
biomass_boiler,power,IT,0,20.9592529
biomass_boiler,power,IT,1,19.68662511
biomass_boiler,power,IT,2,10.36846399
biomass_boiler,power,IT,3,7.883206763
biomass_boiler,power,IT,4,7.883206765
biomass_boiler,power,IT,5,1.840847486
biomass_boiler,power,IT,6,1.187671579
biomass_boiler,power,IT,7,0.673263314
biomass_boiler,power,IT,8,0.010478375
biomass_boiler,power,IT,9,2.74E-08
biomass_boiler,power,IT,10,3.48E-08
biomass_boiler,power,IT,11,4.38E-08
biomass_boiler,power,IT,12,5.58E-08
biomass_boiler,power,IT,13,7.52E-08
biomass_boiler,power,IT,14,1.42E-07
biomass_boiler,power,LT,0,1.687230691
biomass_boiler,power,LT,1,1.680990884
biomass_boiler,power,LT,2,1.680990885
biomass_boiler,power,LT,3,1.571724723
biomass_boiler,power,LT,4,1.513022588
biomass_boiler,power,LT,5,1.134040993
biomass_boiler,power,LT,6,0.978275436
biomass_boiler,power,LT,7,0.702171803
biomass_boiler,power,LT,8,0.265571389
biomass_boiler,power,LT,9,2.67E-08
biomass_boiler,power,LT,10,3.40E-08
biomass_boiler,power,LT,11,4.29E-08
biomass_boiler,power,LT,12,5.47E-08
biomass_boiler,power,LT,13,7.43E-08
biomass_boiler,power,LT,14,1.41E-07
biomass_boiler,power,LU,0,0.04761205
biomass_boiler,power,LU,1,0.047612052
biomass_boiler,power,LU,2,0.047612054
biomass_boiler,power,LU,3,0.04252298
biomass_boiler,power,LU,4,0.042522982
biomass_boiler,power,LU,5,0.031920669
biomass_boiler,power,LU,6,0.017335349
biomass_boiler,power,LU,7,0.007925945
biomass_boiler,power,LU,8,5.20E-08
biomass_boiler,power,LU,9,6.90E-08
biomass_boiler,power,LU,10,8.47E-08
biomass_boiler,power,LU,11,1.03E-07
biomass_boiler,power,LU,12,1.24E-07
biomass_boiler,power,LU,13,1.57E-07
biomass_boiler,power,LU,14,2.36E-07
biomass_boiler,power,LV,0,1.471897275
biomass_boiler,power,LV,1,1.419527608
biomass_boiler,power,LV,2,1.40821648
biomass_boiler,power,LV,3,1.256238425
biomass_boiler,power,LV,4,1.123908727
biomass_boiler,power,LV,5,0.792596716
biomass_boiler,power,LV,6,0.460225986
biomass_boiler,power,LV,7,0.289941081
biomass_boiler,power,LV,8,0.049485111
biomass_boiler,power,LV,9,2.66E-08
biomass_boiler,power,LV,10,3.38E-08
biomass_boiler,power,LV,11,4.24E-08
biomass_boiler,power,LV,12,5.43E-08
biomass_boiler,power,LV,13,7.39E-08
biomass_boiler,power,LV,14,1.41E-07
biomass_boiler,power,NL,0,1.929924423
biomass_boiler,power,NL,1,1.775863156
biomass_boiler,power,NL,2,1.532695576
biomass_boiler,power,NL,3,1.4595929
biomass_boiler,power,NL,4,1.166044397
biomass_boiler,power,NL,5,1.121072763
biomass_boiler,power,NL,6,0.710416213
biomass_boiler,power,NL,7,0.426174567
biomass_boiler,power,NL,8,0.195160789
biomass_boiler,power,NL,9,0.026233945
biomass_boiler,power,NL,10,0.026233948
biomass_boiler,power,NL,11,0.026233952
