carrier,node,time_operation,none
electricity,LU,13,0.0
electricity,LU,14,0.0
electricity,LV,0,0.0
electricity,LV,1,0.0
electricity,LV,2,0.0
electricity,LV,3,0.0
electricity,LV,4,0.0
electricity,LV,5,0.0
electricity,LV,6,0.0
electricity,LV,7,0.0
electricity,LV,8,0.0
electricity,LV,9,0.0
electricity,LV,10,0.0
electricity,LV,11,0.0
electricity,LV,12,0.0
electricity,LV,13,0.0
electricity,LV,14,0.0
electricity,NL,0,0.0
electricity,NL,1,0.0
electricity,NL,2,0.0
electricity,NL,3,0.0
electricity,NL,4,0.0
electricity,NL,5,0.0
electricity,NL,6,0.0
electricity,NL,7,0.0
electricity,NL,8,0.0
electricity,NL,9,0.0
electricity,NL,10,0.0
electricity,NL,11,0.0
electricity,NL,12,0.0
electricity,NL,13,0.0
electricity,NL,14,0.0
electricity,NO,0,0.0
electricity,NO,1,0.0
electricity,NO,2,0.0
electricity,NO,3,0.0
electricity,NO,4,0.0
electricity,NO,5,0.0
electricity,NO,6,0.0
electricity,NO,7,0.0
electricity,NO,8,0.0
electricity,NO,9,0.0
electricity,NO,10,0.0
electricity,NO,11,0.0
electricity,NO,12,0.0
electricity,NO,13,0.0
electricity,NO,14,0.0
electricity,PL,0,0.0
electricity,PL,1,0.0
electricity,PL,2,0.0
electricity,PL,3,0.0
electricity,PL,4,0.0
electricity,PL,5,0.0
electricity,PL,6,0.0
electricity,PL,7,0.0
electricity,PL,8,0.0
electricity,PL,9,0.0
electricity,PL,10,0.0
electricity,PL,11,0.0
electricity,PL,12,0.0
electricity,PL,13,0.0
electricity,PL,14,0.0
electricity,PT,0,0.0
electricity,PT,1,0.0
electricity,PT,2,0.0
electricity,PT,3,0.0
electricity,PT,4,0.0
electricity,PT,5,0.0
electricity,PT,6,0.0
electricity,PT,7,0.0
electricity,PT,8,0.0
electricity,PT,9,0.0
electricity,PT,10,0.0
electricity,PT,11,0.0
electricity,PT,12,0.0
electricity,PT,13,0.0
electricity,PT,14,0.0
electricity,RO,0,0.0
electricity,RO,1,0.0
electricity,RO,2,0.0
electricity,RO,3,0.0
electricity,RO,4,0.0
electricity,RO,5,0.0
electricity,RO,6,0.0
electricity,RO,7,0.0
electricity,RO,8,0.0
electricity,RO,9,0.0
electricity,RO,10,0.0
electricity,RO,11,0.0
electricity,RO,12,0.0
electricity,RO,13,0.0
electricity,RO,14,0.0
electricity,SE,0,0.0
electricity,SE,1,0.0
electricity,SE,2,0.0
electricity,SE,3,0.0
electricity,SE,4,0.0
electricity,SE,5,0.0
electricity,SE,6,0.0
electricity,SE,7,0.0
electricity,SE,8,0.0
electricity,SE,9,0.0
electricity,SE,10,0.0
electricity,SE,11,0.0
electricity,SE,12,0.0
electricity,SE,13,0.0
electricity,SE,14,0.0
electricity,SI,0,0.0
electricity,SI,1,0.0
electricity,SI,2,0.0
electricity,SI,3,0.0
electricity,SI,4,0.0
electricity,SI,5,0.0
electricity,SI,6,0.0
electricity,SI,7,0.0
electricity,SI,8,0.0
electricity,SI,9,0.0
electricity,SI,10,0.0
electricity,SI,11,0.0
electricity,SI,12,0.0
electricity,SI,13,0.0
electricity,SI,14,0.0
electricity,SK,0,0.0
electricity,SK,1,0.0
electricity,SK,2,0.0
electricity,SK,3,0.0
electricity,SK,4,0.0
electricity,SK,5,0.0
electricity,SK,6,0.0
electricity,SK,7,0.0
electricity,SK,8,0.0
electricity,SK,9,0.0
electricity,SK,10,0.0
electricity,SK,11,0.0
electricity,SK,12,0.0
electricity,SK,13,0.0
electricity,SK,14,0.0
electricity,UK,0,0.0
electricity,UK,1,0.0
electricity,UK,2,0.0
electricity,UK,3,0.0
electricity,UK,4,0.0
electricity,UK,5,0.0
electricity,UK,6,0.0
electricity,UK,7,0.0
electricity,UK,8,0.0
electricity,UK,9,0.0
electricity,UK,10,0.0
electricity,UK,11,0.0
electricity,UK,12,0.0
electricity,UK,13,0.0
electricity,UK,14,0.0
heat,AT,0,0.0
heat,AT,1,0.0
heat,AT,2,0.0
heat,AT,3,0.0
heat,AT,4,0.0
heat,AT,5,0.0
heat,AT,6,0.0
heat,AT,7,0.0
heat,AT,8,0.0
heat,AT,9,0.0
heat,AT,10,0.0
heat,AT,11,0.0
heat,AT,12,0.0
heat,AT,13,0.0
heat,AT,14,0.0
heat,BE,0,0.0
heat,BE,1,0.0
heat,BE,2,0.0
heat,BE,3,0.0
heat,BE,4,0.0
heat,BE,5,0.0
heat,BE,6,0.0
heat,BE,7,0.0
heat,BE,8,0.0
heat,BE,9,0.0
heat,BE,10,0.0
heat,BE,11,0.0
heat,BE,12,0.0
heat,BE,13,0.0
heat,BE,14,0.0
heat,BG,0,0.0
heat,BG,1,0.0
heat,BG,2,0.0
heat,BG,3,0.0
heat,BG,4,0.0
heat,BG,5,0.0
heat,BG,6,0.0
heat,BG,7,0.0
heat,BG,8,0.0
heat,BG,9,0.0
heat,BG,10,0.0
heat,BG,11,0.0
heat,BG,12,0.0
heat,BG,13,0.0
heat,BG,14,0.0
heat,CH,0,0.0
heat,CH,1,0.0
heat,CH,2,0.0
heat,CH,3,0.0
heat,CH,4,0.0
