technology,capacity_type,location,year,none
DAC,power,LT,12,2.4649418661104572e-08
DAC,power,LT,13,4.4848873977636556e-08
DAC,power,LT,14,1.9340859089849814e-07
DAC,power,LU,0,9.498700470299437e-10
DAC,power,LU,1,1.5721788927803983e-09
DAC,power,LU,2,2.1885156987057693e-09
DAC,power,LU,3,2.8676198161645245e-09
DAC,power,LU,4,3.648842902653089e-09
DAC,power,LU,5,4.478898554033169e-09
DAC,power,LU,6,5.433688475854649e-09
DAC,power,LU,7,6.5667316271270365e-09
DAC,power,LU,8,7.950811632573797e-09
DAC,power,LU,9,9.696212602704395e-09
DAC,power,LU,10,1.0952769115592942e-08
DAC,power,LU,11,1.3142521841262228e-08
DAC,power,LU,12,1.6569803448022737e-08
DAC,power,LU,13,2.3067761486542834e-08
DAC,power,LU,14,4.96457655125621e-08
DAC,power,LV,0,9.970874204545045e-10
DAC,power,LV,1,1.652841156268381e-09
DAC,power,LV,2,2.307250126083281e-09
DAC,power,LV,3,3.0392368875939445e-09
DAC,power,LV,4,3.982051423503797e-09
DAC,power,LV,5,5.0640345155210145e-09
DAC,power,LV,6,6.401458956665784e-09
DAC,power,LV,7,8.145238272044349e-09
DAC,power,LV,8,1.0453336766460275e-08
DAC,power,LV,9,1.3544430423421821e-08
DAC,power,LV,10,1.6582738524981597e-08
DAC,power,LV,11,2.0501424082432474e-08
DAC,power,LV,12,2.6815949113621903e-08
DAC,power,LV,13,5.1754821666763215e-08
DAC,power,LV,14,2.897752174363601e-07
DAC,power,NL,0,9.340113292510282e-10
DAC,power,NL,1,1.5462198228001334e-09
DAC,power,NL,2,2.1463446519003197e-09
DAC,power,NL,3,2.808718286071618e-09
DAC,power,NL,4,3.5941974348948853e-09
DAC,power,NL,5,4.464373304665143e-09
DAC,power,NL,6,5.492145489851611e-09
DAC,power,NL,7,6.741493619718708e-09
DAC,power,NL,8,8.279164433752649e-09
DAC,power,NL,9,1.0201519243210403e-08
DAC,power,NL,10,1.1689401994978007e-08
DAC,power,NL,11,1.4097534498621861e-08
DAC,power,NL,12,1.7982757097038134e-08
DAC,power,NL,13,2.641700325968552e-08
DAC,power,NL,14,6.80187294054509e-08
DAC,power,NO,0,9.912173019582938e-10
DAC,power,NO,1,1.6304324973255449e-09
DAC,power,NO,2,2.269713369585847e-09
DAC,power,NO,3,2.989358536929139e-09
DAC,power,NO,4,3.914708022016241e-09
DAC,power,NO,5,4.976590209180315e-09
DAC,power,NO,6,6.278608031448831e-09
DAC,power,NO,7,7.963593662746077e-09
DAC,power,NO,8,1.0150281961335488e-08
DAC,power,NO,9,1.295322797401006e-08
DAC,power,NO,10,1.548884539425854e-08
DAC,power,NO,11,1.892175081323668e-08
DAC,power,NO,12,2.522499086537239e-08
DAC,power,NO,13,5.094454128896996e-08
DAC,power,NO,14,7.636949045598522e-07
DAC,power,PL,0,9.497240505249918e-10
DAC,power,PL,1,1.57179926942667e-09
DAC,power,PL,2,2.187772049068294e-09
DAC,power,PL,3,2.876909806600746e-09
DAC,power,PL,4,3.720880129003976e-09
DAC,power,PL,5,4.658108616263374e-09
DAC,power,PL,6,5.776024477801185e-09
DAC,power,PL,7,7.157361859029905e-09
DAC,power,PL,8,8.879213450984182e-09
DAC,power,PL,9,1.1045769645712394e-08
DAC,power,PL,10,1.2801898319863922e-08
DAC,power,PL,11,1.5588871922416865e-08
DAC,power,PL,12,2.0112112991479293e-08
DAC,power,PL,13,3.084215212777684e-08
DAC,power,PL,14,7.854037440382557e-08
DAC,power,PT,0,9.178657272125573e-10
DAC,power,PT,1,1.5296708091298943e-09
DAC,power,PT,2,2.131357706735784e-09
DAC,power,PT,3,2.7902158749540355e-09
DAC,power,PT,4,3.5688988099420012e-09
DAC,power,PT,5,4.418150463122717e-09
DAC,power,PT,6,5.413119772283741e-09
DAC,power,PT,7,6.618161556632585e-09
DAC,power,PT,8,8.099919345623142e-09
DAC,power,PT,9,9.96270581100825e-09
DAC,power,PT,10,1.1397763187756646e-08
DAC,power,PT,11,1.3761193888868065e-08
DAC,power,PT,12,1.7517371792335725e-08
DAC,power,PT,13,2.4896641271900702e-08
DAC,power,PT,14,5.505901722417351e-08
DAC,power,RO,0,9.562988479245577e-10
DAC,power,RO,1,1.5863151080828715e-09
DAC,power,RO,2,2.209909061677169e-09
DAC,power,RO,3,2.897310850772779e-09
DAC,power,RO,4,3.6917897054939562e-09
DAC,power,RO,5,4.529683871505729e-09
DAC,power,RO,6,5.490430686810539e-09
DAC,power,RO,7,6.628558581556702e-09
DAC,power,RO,8,8.001499949663431e-09
DAC,power,RO,9,9.71140016123669e-09
DAC,power,RO,10,1.0897208549837606e-08
DAC,power,RO,11,1.3029622797835535e-08
DAC,power,RO,12,1.632270852009573e-08
DAC,power,RO,13,2.2390830010540177e-08
DAC,power,RO,14,4.472905369252804e-08
DAC,power,SE,0,9.945536820680695e-10
DAC,power,SE,1,1.6346887261164418e-09
DAC,power,SE,2,2.273479336565237e-09
DAC,power,SE,3,2.9912534299857164e-09
DAC,power,SE,4,3.911727446519044e-09
DAC,power,SE,5,4.968357179995769e-09
DAC,power,SE,6,6.2668534174749915e-09
DAC,power,SE,7,7.94434264768444e-09
DAC,power,SE,8,1.0120273824220585e-08
DAC,power,SE,9,1.2901228977914851e-08
DAC,power,SE,10,1.5385718137498996e-08
DAC,power,SE,11,1.8748315492275013e-08
DAC,power,SE,12,2.4901822783029814e-08
DAC,power,SE,13,5.056055936608929e-08
DAC,power,SE,14,8.374454246522267e-07
DAC,power,SI,0,9.618008891448898e-10
DAC,power,SI,1,1.5887397211967922e-09
DAC,power,SI,2,2.2131469369774014e-09
DAC,power,SI,3,2.907721071078216e-09
DAC,power,SI,4,3.75971359480001e-09
DAC,power,SI,5,4.706772269281969e-09
DAC,power,SI,6,5.837514637639996e-09
DAC,power,SI,7,7.2379354618168625e-09
DAC,power,SI,8,8.98031520708323e-09
DAC,power,SI,9,1.1155264519764828e-08
DAC,power,SI,10,1.2892919552060184e-08
DAC,power,SI,11,1.566383167560302e-08
DAC,power,SI,12,2.017389246451095e-08
DAC,power,SI,13,3.0908878942118685e-08
DAC,power,SI,14,7.820022415787277e-08
DAC,power,SK,0,9.575973930649005e-10
DAC,power,SK,1,1.5879689391285198e-09
DAC,power,SK,2,2.213446545402729e-09
DAC,power,SK,3,2.9040147951004947e-09
DAC,power,SK,4,3.700389830121837e-09
DAC,power,SK,5,4.543586142294001e-09
DAC,power,SK,6,5.520525753348398e-09
DAC,power,SK,7,6.685241407884072e-09
DAC,power,SK,8,8.080982613992272e-09
DAC,power,SK,9,9.835456444399593e-09
DAC,power,SK,10,1.1089685833064501e-08
DAC,power,SK,11,1.3270211083778431e-08
DAC,power,SK,12,1.6703411440888748e-08
DAC,power,SK,13,2.32006483477624e-08
DAC,power,SK,14,4.832399419860038e-08
DAC,power,UK,0,9.758450441325295e-10
DAC,power,UK,1,1.6074250997435783e-09
DAC,power,UK,2,2.2332160922797946e-09
DAC,power,UK,3,2.9329220321607488e-09
DAC,power,UK,4,3.813396187891044e-09
DAC,power,UK,5,4.814307908805248e-09
DAC,power,UK,6,6.028995503573963e-09
DAC,power,UK,7,7.56571621462784e-09
DAC,power,UK,8,9.526229912322368e-09
DAC,power,UK,9,1.201988937628083e-08
DAC,power,UK,10,1.4178783051120362e-08
DAC,power,UK,11,1.7237357863703137e-08
DAC,power,UK,12,2.267598070449534e-08
DAC,power,UK,13,4.059705036928668e-08
DAC,power,UK,14,2.191823424011391e-07
biomass_boiler,power,AT,0,5.069829446939524
biomass_boiler,power,AT,1,4.388495192049096
biomass_boiler,power,AT,2,2.712549822698739
biomass_boiler,power,AT,3,1.6757320903068609
biomass_boiler,power,AT,4,0.709657421055067
biomass_boiler,power,AT,5,0.2450849686790326
biomass_boiler,power,AT,6,0.1969630351503558
biomass_boiler,power,AT,7,0.06546556964458712
biomass_boiler,power,AT,8,0.06546561470902057
biomass_boiler,power,AT,9,1.8015631305250483e-07
biomass_boiler,power,AT,10,2.415693877674487e-07
biomass_boiler,power,AT,11,3.029099266384456e-07
biomass_boiler,power,AT,12,3.8198032281131625e-07
biomass_boiler,power,AT,13,5.001845399252251e-07
biomass_boiler,power,AT,14,7.775696369552261e-07
biomass_boiler,power,BE,0,1.8648418319277797
biomass_boiler,power,BE,1,1.8648418359081893
biomass_boiler,power,BE,2,1.245796915549395
biomass_boiler,power,BE,3,1.0861157109532271
biomass_boiler,power,BE,4,0.6246343830525294
biomass_boiler,power,BE,5,0.24584558711094115
biomass_boiler,power,BE,6,0.17507699543597027
biomass_boiler,power,BE,7,1.2175180366786234e-07
