technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DAC,power,RO,9.562988479245577e-10,1.5863151080828715e-09,2.209909061677169e-09,2.897310850772779e-09,3.6917897054939562e-09,4.529683871505729e-09,5.490430686810539e-09,6.628558581556702e-09,8.001499949663431e-09,9.71140016123669e-09,1.0897208549837606e-08,1.3029622797835535e-08,1.632270852009573e-08,2.2390830010540177e-08,4.472905369252804e-08
DAC,power,SE,9.945536820680695e-10,1.6346887261164418e-09,2.273479336565237e-09,2.9912534299857164e-09,3.911727446519044e-09,4.968357179995769e-09,6.2668534174749915e-09,7.94434264768444e-09,1.0120273824220585e-08,1.2901228977914851e-08,1.5385718137498996e-08,1.8748315492275013e-08,2.4901822783029814e-08,5.056055936608929e-08,8.374454246522267e-07
DAC,power,SI,9.618008891448898e-10,1.5887397211967922e-09,2.2131469369774014e-09,2.907721071078216e-09,3.75971359480001e-09,4.706772269281969e-09,5.837514637639996e-09,7.2379354618168625e-09,8.98031520708323e-09,1.1155264519764828e-08,1.2892919552060184e-08,1.566383167560302e-08,2.017389246451095e-08,3.0908878942118685e-08,7.820022415787277e-08
DAC,power,SK,9.575973930649005e-10,1.5879689391285198e-09,2.213446545402729e-09,2.9040147951004947e-09,3.700389830121837e-09,4.543586142294001e-09,5.520525753348398e-09,6.685241407884072e-09,8.080982613992272e-09,9.835456444399593e-09,1.1089685833064501e-08,1.3270211083778431e-08,1.6703411440888748e-08,2.32006483477624e-08,4.832399419860038e-08
DAC,power,UK,9.758450441325295e-10,1.6074250997435783e-09,2.2332160922797946e-09,2.9329220321607488e-09,3.813396187891044e-09,4.814307908805248e-09,6.028995503573963e-09,7.56571621462784e-09,9.526229912322368e-09,1.201988937628083e-08,1.4178783051120362e-08,1.7237357863703137e-08,2.267598070449534e-08,4.059705036928668e-08,2.191823424011391e-07
biomass_boiler,power,AT,5.069829446939524,4.388495192049096,2.712549822698739,1.6757320903068609,0.709657421055067,0.2450849686790326,0.1969630351503558,0.06546556964458712,0.06546561470902057,1.8015631305250483e-07,2.415693877674487e-07,3.029099266384456e-07,3.8198032281131625e-07,5.001845399252251e-07,7.775696369552261e-07
biomass_boiler,power,BE,1.8648418319277797,1.8648418359081893,1.245796915549395,1.0861157109532271,0.6246343830525294,0.24584558711094115,0.17507699543597027,1.2175180366786234e-07,1.68042230871071e-07,2.1033240755381261e-07,2.4990435089799086e-07,2.965001896985819e-07,3.5373577587994734e-07,4.374942995250704e-07,6.329080089072197e-07
biomass_boiler,power,BG,3.436625840946345,3.1681673572920035,3.082876731092658,2.829558139326089,2.7551486596615913,2.459889446126175,2.369135089424057,2.1008807670595266,1.2541381085194294,0.2976943512021637,0.29769437228677736,0.29769439738787706,0.2976944349110793,0.29769450502066347,0.2976947530305269
biomass_boiler,power,CH,6.869180113009345,5.946031164831436,3.675270238363485,2.2704719441266974,0.9615243772615991,0.3320689092517131,0.2668678495550715,0.08870015643174066,0.08870019920610978,1.8158935614513877e-07,2.4908009929964097e-07,3.07999734310431e-07,3.912607335427903e-07,5.143417307441712e-07,7.922803267170876e-07
biomass_boiler,power,CZ,6.363333811179451,5.73686570770068,5.005542699139283,4.445439824604231,3.7495261009522287,2.64908444846287,1.9834894468929838,1.6505070993771793,0.6861870930309779,0.2748285247305802,0.2748285429781611,0.2748285657708064,0.27482859676000143,0.27482864863021167,0.27482880236242874
biomass_boiler,power,DE,23.15749439632317,22.189219534596795,15.854373477143398,14.60968009306642,11.332771332545416,8.65056968066297,8.650569687050691,4.591445487213662,1.5124926774704324,0.5202313486292677,0.5202313632341526,0.5202313867687818,0.5202314214894171,0.5202314826595086,0.5202316367401568
biomass_boiler,power,DK,3.0111717771344924,2.499789328826639,1.627739989979172,1.5927495236490918,1.5165588988125915,1.313610303983808,0.816083447391712,0.5650399180306187,0.5103953915462988,0.09766948805030548,0.0976694962938558,0.0976695079088509,0.09766952584420514,0.09766955894716604,0.09766966909443307
biomass_boiler,power,EE,1.202508791461472,1.2025087943478474,0.965887118648071,0.8736761389727512,0.8736761433319923,0.7993274328157834,0.27363416996788414,0.10412026137324415,0.09711135104590367,7.413941891813389e-08,9.509502006180255e-08,1.1964253666036385e-07,1.5305192968234922e-07,2.0820768430786582e-07,4.0114422180889594e-07
biomass_boiler,power,EL,3.320676166701056,3.3206761697785923,3.3206761733687826,3.320676177504802,2.6065128021054766,0.26861136241905836,0.2686113702834062,0.26861138137220897,6.077445351838966e-08,7.931176801776856e-08,9.775140628915614e-08,1.2048139212629902e-07,1.517242431963591e-07,2.043782533178113e-07,3.8981995706722253e-07
biomass_boiler,power,ES,4.149006674494808,3.85531027333689,3.257026332839585,1.7829531344341167,1.145296485184162,0.5600408878952878,0.24459132929245334,0.24459133962495447,0.032621620394734444,8.448393457748993e-08,1.078258355993225e-07,1.348936430517316e-07,1.7008332713307141e-07,2.2720393767513493e-07,4.107026588236413e-07
biomass_boiler,power,FI,2.8164873873707243,2.2641856917772922,1.8824258925152706,1.2207266822507028,0.9160902307934892,0.601386991270271,0.5754285193657608,0.37609617048516086,0.2751969894622022,0.09047568183338327,0.09047569006312034,0.09047570166370106,0.0904757195869973,0.09047575264631907,0.09047586264986882
biomass_boiler,power,FR,16.555643975952435,14.683882118773926,11.823421398389275,9.86168786429578,4.86654939021867,2.1401232962583956,1.7022347073281416,0.6919954101405401,1.1873029836080925e-07,1.5721474011154448e-07,1.9304793714052857e-07,2.3399352098873367e-07,2.8475414339013676e-07,3.644279123160363e-07,5.820609379135462e-07
