technology,capacity_type,location,year,none,
DAC,power,UK,3,2.93E-09,2.93E-03
DAC,power,UK,4,3.81E-09,3.81E-03
DAC,power,UK,5,4.81E-09,4.81E-03
DAC,power,UK,6,6.03E-09,6.03E-03
DAC,power,UK,7,7.57E-09,7.57E-03
DAC,power,UK,8,9.53E-09,9.53E-03
DAC,power,UK,9,1.20E-08,1.20E-02
DAC,power,UK,10,1.42E-08,1.42E-02
DAC,power,UK,11,1.72E-08,1.72E-02
DAC,power,UK,12,2.27E-08,2.27E-02
DAC,power,UK,13,4.06E-08,4.06E-02
DAC,power,UK,14,2.19E-07,2.19E-01
biomass_boiler,power,AT,0,5.069829447,5.07E+06
biomass_boiler,power,AT,1,4.388495192,4.39E+06
biomass_boiler,power,AT,2,2.712549823,2.71E+06
biomass_boiler,power,AT,3,1.67573209,1.68E+06
biomass_boiler,power,AT,4,0.709657421,7.10E+05
biomass_boiler,power,AT,5,0.245084969,2.45E+05
biomass_boiler,power,AT,6,0.196963035,1.97E+05
biomass_boiler,power,AT,7,0.06546557,6.55E+04
biomass_boiler,power,AT,8,0.065465615,6.55E+04
biomass_boiler,power,AT,9,1.80E-07,1.80E-01
biomass_boiler,power,AT,10,2.42E-07,2.42E-01
biomass_boiler,power,AT,11,3.03E-07,3.03E-01
biomass_boiler,power,AT,12,3.82E-07,3.82E-01
biomass_boiler,power,AT,13,5.00E-07,5.00E-01
biomass_boiler,power,AT,14,7.78E-07,7.78E-01
biomass_boiler,power,BE,0,1.864841832,1.86E+06
biomass_boiler,power,BE,1,1.864841836,1.86E+06
biomass_boiler,power,BE,2,1.245796916,1.25E+06
biomass_boiler,power,BE,3,1.086115711,1.09E+06
biomass_boiler,power,BE,4,0.624634383,6.25E+05
biomass_boiler,power,BE,5,0.245845587,2.46E+05
biomass_boiler,power,BE,6,0.175076995,1.75E+05
biomass_boiler,power,BE,7,1.22E-07,1.22E-01
biomass_boiler,power,BE,8,1.68E-07,1.68E-01
biomass_boiler,power,BE,9,2.10E-07,2.10E-01
biomass_boiler,power,BE,10,2.50E-07,2.50E-01
biomass_boiler,power,BE,11,2.97E-07,2.97E-01
biomass_boiler,power,BE,12,3.54E-07,3.54E-01
biomass_boiler,power,BE,13,4.37E-07,4.37E-01
biomass_boiler,power,BE,14,6.33E-07,6.33E-01
biomass_boiler,power,BG,0,3.436625841,3.44E+06
biomass_boiler,power,BG,1,3.168167357,3.17E+06
biomass_boiler,power,BG,2,3.082876731,3.08E+06
biomass_boiler,power,BG,3,2.829558139,2.83E+06
biomass_boiler,power,BG,4,2.75514866,2.76E+06
biomass_boiler,power,BG,5,2.459889446,2.46E+06
biomass_boiler,power,BG,6,2.369135089,2.37E+06
biomass_boiler,power,BG,7,2.100880767,2.10E+06
biomass_boiler,power,BG,8,1.254138109,1.25E+06
biomass_boiler,power,BG,9,0.297694351,2.98E+05
biomass_boiler,power,BG,10,0.297694372,2.98E+05
biomass_boiler,power,BG,11,0.297694397,2.98E+05
biomass_boiler,power,BG,12,0.297694435,2.98E+05
biomass_boiler,power,BG,13,0.297694505,2.98E+05
biomass_boiler,power,BG,14,0.297694753,2.98E+05
biomass_boiler,power,CH,0,6.869180113,6.87E+06
biomass_boiler,power,CH,1,5.946031165,5.95E+06
biomass_boiler,power,CH,2,3.675270238,3.68E+06
