technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
biomass_boiler_DH,power,UK,0.1515431,0.151543101,0.151543102,0.151543104,0.151543105,0.151543107,0.151543109,0.151543111,0.151543115,0.035950116,0.005217083,3.64E-08,4.96E-08,7.12E-08,1.42E-07
biomass_plant,power,AT,0.177931,0.177931,0.177931,0.177931001,0.174681001,0.166181001,0.096781002,0.024050002,0.014050003,0.012050003,0.005200004,0.005200006,9.34E-09,1.43E-08,2.98E-08
biomass_plant,power,BE,0.3821,0.3821,0.3821,0.382100001,0.382100001,0.382100001,0.334900002,0.319300002,0.274600003,0.016400004,0.013400005,7.40E-09,1.04E-08,1.51E-08,3.00E-08
biomass_plant,power,BG,0.01,0.01,0.010000001,0.010000001,0.010000001,0.010000002,0.010000002,0.010000003,4.31E-09,5.68E-09,7.25E-09,9.20E-09,1.19E-08,1.65E-08,3.19E-08
biomass_plant,power,CH,0.0404,0.0404,0.040400001,0.040400001,0.040400001,0.040400001,0.040400002,0.018400003,0.014400004,5.07E-09,6.75E-09,8.80E-09,1.16E-08,1.62E-08,3.12E-08
biomass_plant,power,CZ,0.170476,0.170476,0.170476,0.170476001,0.170476001,0.165536001,0.109536002,0.106836002,0.018930003,0.015000004,0.015000005,7.21E-09,1.01E-08,1.47E-08,2.98E-08
biomass_plant,power,DE,2.061257,1.946357,1.897757,1.773557001,1.701157001,1.411657001,0.912157002,0.677895002,0.540045003,0.270600003,0.118100004,0.045800006,9.22E-09,1.41E-08,2.94E-08
biomass_plant,power,DK,0.9002,0.9002,0.8919,0.852200001,0.852200001,0.680200001,0.680200002,0.677500002,0.584100003,0.584100003,0.554000004,0.554000006,8.83E-09,1.34E-08,2.82E-08
biomass_plant,power,EE,0.0953,0.0953,0.0953,0.095300001,0.095300001,0.087300001,0.087300002,0.087300002,0.051800003,0.027800003,0.021400004,0.021400006,8.83E-09,1.34E-08,2.82E-08
biomass_plant,power,EL,0.052,0.052,0.052000001,0.052000001,0.028500001,0.028500002,0.028500002,3.31E-09,4.34E-09,5.52E-09,6.93E-09,8.74E-09,1.13E-08,1.56E-08,2.98E-08
biomass_plant,power,ES,0.60822,0.60822,0.60822,0.605870001,0.589670001,0.534670001,0.494670002,0.449270002,0.353300002,0.320900003,0.220500004,0.195500005,0.195500007,0.09950001,2.64E-08
biomass_plant,power,FI,1.5284,1.5284,1.5034,1.355200001,1.333200001,1.039900001,0.897000002,0.897000002,0.677000003,0.468000003,0.192000004,0.192000006,8.83E-09,1.34E-08,2.82E-08
