technology,capacity_type,location,year,none
DAC,power,PT,0,3.4813674539420773e-10
DAC,power,PT,1,5.798625631165099e-10
DAC,power,PT,2,8.076402660356441e-10
DAC,power,PT,3,1.0566083129108203e-09
DAC,power,PT,4,1.3503232936534265e-09
DAC,power,PT,5,1.670237362337589e-09
DAC,power,PT,6,2.0442652312232856e-09
DAC,power,PT,7,2.4962094489639114e-09
DAC,power,PT,8,3.0503049684483507e-09
DAC,power,PT,9,3.7441864598105906e-09
DAC,power,PT,10,4.267571355496449e-09
DAC,power,PT,11,5.133620179416572e-09
DAC,power,PT,12,6.504833339957617e-09
DAC,power,PT,13,9.219242431377668e-09
DAC,power,PT,14,1.98020388284808e-08
DAC,power,RO,0,3.629345314341992e-10
DAC,power,RO,1,6.012844536439928e-10
DAC,power,RO,2,8.367178730351796e-10
DAC,power,RO,3,1.0957538697970003e-09
DAC,power,RO,4,1.3944189080518496e-09
DAC,power,RO,5,1.709426472330764e-09
DAC,power,RO,6,2.0701796487175953e-09
DAC,power,RO,7,2.4968847929178347e-09
DAC,power,RO,8,3.0106813806454517e-09
DAC,power,RO,9,3.6496919053912777e-09
DAC,power,RO,10,4.085484090504846e-09
DAC,power,RO,11,4.8741484957732515e-09
DAC,power,RO,12,6.0896106596576275e-09
DAC,power,RO,13,8.341161000839072e-09
DAC,power,RO,14,1.6449079310944084e-08
DAC,power,SE,0,3.7848188519665205e-10
DAC,power,SE,1,6.217760034934123e-10
DAC,power,SE,2,8.641918336494447e-10
DAC,power,SE,3,1.1361564131440544e-09
DAC,power,SE,4,1.483304166586179e-09
DAC,power,SE,5,1.8813436518866426e-09
DAC,power,SE,6,2.36911230448309e-09
DAC,power,SE,7,2.997245953795385e-09
DAC,power,SE,8,3.810226608102886e-09
DAC,power,SE,9,4.84592274634205e-09
DAC,power,SE,10,5.759247609949839e-09
DAC,power,SE,11,6.9966840704462354e-09
DAC,power,SE,12,9.256195651596236e-09
DAC,power,SE,13,1.82565161479381e-08
DAC,power,SE,14,2.2993545488755353e-07
DAC,power,SI,0,3.6491092748569725e-10
DAC,power,SI,1,6.024793243825041e-10
DAC,power,SI,2,8.385456712105961e-10
DAC,power,SI,3,1.1006383518465779e-09
